id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-type;number;pages;publisher;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
83;Siegfried Bublitz;;;;;;;;;;;https://doi.org/10.1007/BF00264314;;;Acta Inf.;journals/acta/Bublitz86;2017-05-28;;;;6;689-696;;;;;Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.;;;db/journals/acta/acta23.html#Bublitz86;23;1986
84;Ali Movaghar|Gholamreza Sotudeh|Masoud Ebrahimi;;0000-0002-5440-1331;;;;;;;;;https://doi.org/10.1007/s00236-018-0311-3;oa;;Acta Inf.;journals/acta/EbrahimiSM19;2019-02-13;;;;1;1-33;;;;;Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.;;;db/journals/acta/acta56.html#EbrahimiSM19;56;2019
85;Gian Luigi Ferrari|Gianluca Mezzetti|Pierpaolo Degano;;;;;;;;;;;https://doi.org/10.1007/s00236-016-0261-6;;;Acta Inf.;journals/acta/DeganoFM17;2017-05-04;;;;4;399-433;;;;;Regular and context-free nominal traces.;;;db/journals/acta/acta54.html#DeganoFM17;54;2017
86;Benedek Nagy|Friedrich Otto;;;;;;;;;;;https://doi.org/10.1007/s00236-012-0175-x;;;Acta Inf.;journals/acta/NagyO13;2017-05-28;;;;4;229-255;;;;;Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.;;;db/journals/acta/acta50.html#NagyO13;50;2013
87;Krishnendu Chatterjee|Rüdiger Ehlers;;0000-0002-4561-241X;;;;;;;;;https://doi.org/10.1007/s00236-017-0299-0;oa;;Acta Inf.;journals/acta/ChatterjeeE17;2018-11-30;;;;6;543-544;;;;;Special issue: Synthesis and SYNT 2014.;;;db/journals/acta/acta54.html#ChatterjeeE17;54;2017
88;Gheorghe Paun;;;;;;;;;;;https://doi.org/10.1007/BF01209710;;;Acta Inf.;journals/acta/Paun93;2017-05-28;;;;4;351-367;;;;;On the Synchronization in Parallel Communicating Grammar Systems.;;;db/journals/acta/acta30.html#Paun93;30;1993
89;P. F. Schuler;;;;;;;;;;;https://doi.org/10.1007/BF00264035;;;Acta Inf.;journals/acta/Schuler74;2017-05-28;;;;;155-170;;;;;Weakly Context-Sensitive Languages as Model for Programming Languages.;;;db/journals/acta/acta3.html#Schuler74;3;1974
90;George W. Ernst;;;;;;;;;;;https://doi.org/10.1007/BF00289246;;;Acta Inf.;journals/acta/Ernst77;2017-05-28;;;;;145-152;;;;;Rules of Inference for Procedure Calls.;;;db/journals/acta/acta8.html#Ernst77;8;1977
91;Günther E. Pfaff;;;;;;;;;;;https://doi.org/10.1007/BF00264473;;;Acta Inf.;journals/acta/Pfaff83;2017-05-28;;;;;151-166;;;;;The Construction of Operator Interfaces Based on Logical Input Devices.;;;db/journals/acta/acta19.html#Pfaff83;19;1983
92;Heiko Vogler|Joost Engelfriet;;;;;;;;;;;https://doi.org/10.1007/BF02915449;;;Acta Inf.;journals/acta/EngelfrietV88;2017-05-28;;;;1/2;131-192;;;;;High Level Tree Transducers and Iterated Pushdown Tree Transducers.;;;db/journals/acta/acta26.html#EngelfrietV88;26;1988
93;Stefan Reisch;;;;;;;;;;;https://doi.org/10.1007/BF00288536|https://www.wikidata.org/entity/Q29999401;;;Acta Inf.;journals/acta/Reisch80;2018-11-14;;;;;59-66;;;;;Gobang ist PSPACE-vollständig.;;;db/journals/acta/acta13.html#Reisch80;13;1980
94;Chen-Ming Fan|Cheng-Chih Huang|Huei-Jan Shyr|Kuo-Hsiang Chen;;;;;;;;;;;https://doi.org/10.1007/s00236-010-0116-5;;;Acta Inf.;journals/acta/FanHSC10;2017-05-28;;;;4;209-219;;;;;A note on autodense related languages.;;;db/journals/acta/acta47.html#FanHSC10;47;2010
95;Artiom Alhazov|Linqiang Pan;;0000-0002-4554-455X;;;;;;;;;https://doi.org/10.1007/s00236-006-0018-8;;;Acta Inf.;journals/acta/PanA06;2017-06-05;;;;2;131-145;;;;;Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.;;;db/journals/acta/acta43.html#PanA06;43;2006
96;Akhil Kumar 0001|Kavindra Malik;;;;;;;;;;;https://doi.org/10.1007/s002360050043;;;Acta Inf.;journals/acta/KumarM96;2017-05-28;;;;3;255-275;;;;;Optimizing the Costs of Hierarchical Quorum Consensus.;;;db/journals/acta/acta33.html#KumarM96;33;1996
97;Denis Poitrenaud|Serge Haddad;;;;;;;;;;;https://doi.org/10.1007/s00236-007-0055-y;;;Acta Inf.;journals/acta/HaddadP07;2017-05-28;;;;7-8;463-508;;;;;Recursive Petri nets.;;;db/journals/acta/acta44.html#HaddadP07;44;2007
98;Donald P. Gaver|George Humfeld;;;;;;;;;;;https://doi.org/10.1007/BF00265765;;;Acta Inf.;journals/acta/GaverH76;2017-05-28;;;;;111-121;;;;;Multitype Multiprogramming Models.;;;db/journals/acta/acta7.html#GaverH76;7;1976
99;J.-P. Lévy;;;;;;;;;;;https://doi.org/10.1007/BF00288730;;;Acta Inf.;journals/acta/Levy74;2017-05-28;;;;;271-292;;;;;Automatic Correction of Syntax-Errors in Programming Languages.;;;db/journals/acta/acta4.html#Levy74;4;1974
100;Nicolae Santean|Sheng Yu|Stavros Konstantinidis;;0000-0002-6628-067X;;;;;;;;;https://doi.org/10.1007/s00236-006-0027-7;;;Acta Inf.;journals/acta/KonstantinidisSY07;2018-11-30;;;;6;395-417;;;;;Representation and uniformization of algebraic transductions.;;;db/journals/acta/acta43.html#KonstantinidisSY07;43;2007
101;Astrid Kiehn|Eike Best|Lucia Pomello|Raymond R. Devillers;;;;;;;;;;;https://doi.org/10.1007/BF01178506;;;Acta Inf.;journals/acta/BestDKP91;2017-05-28;;;;3;231-264;;;;;Concurrent Bisimulations in Petri Nets.;;;db/journals/acta/acta28.html#BestDKP91;28;1991
102;Markus Büttner;;;;;;;;;;;https://doi.org/10.1007/s00236-005-0170-6;;;Acta Inf.;journals/acta/Buttner05;2017-05-28;;;;1;21-42;;;;;Enhanced prefetching and caching strategies for single- and multi-disk systems.;;;db/journals/acta/acta42.html#Buttner05;42;2005
103;Andrzej Ehrenfeucht|Grzegorz Rozenberg|Hendrik Jan Hoogeboom;;0000-0002-6673-0124;;;;;;;;;https://doi.org/10.1007/BF00263585;;;Acta Inf.;journals/acta/EhrenfeuchtHR88;2017-06-05;;;;2;203-231;;;;;Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.;;;db/journals/acta/acta25.html#EhrenfeuchtHR88;25;1988
104;Eike Best|Raymond R. Devillers;;;;;;;;;;;https://doi.org/10.1007/s00236-015-0219-0;;;Acta Inf.;journals/acta/BestD15a;2017-05-28;;;;2-3;133-152;;;;;State space axioms for T-systems.;;;db/journals/acta/acta52.html#BestD15a;52;2015
105;Andreas Maletti|Eric Lilin|Joost Engelfriet;;;;;;;;;;;https://doi.org/10.1007/s00236-009-0105-8;;;Acta Inf.;journals/acta/EngelfrietLM09;2017-05-28;;;;8;561-590;;;;;Extended multi bottom-up tree transducers.;;;db/journals/acta/acta46.html#EngelfrietLM09;46;2009
106;Andrzej Blikle;;;;;;;;;;;https://doi.org/10.1007/BF00261259;;;Acta Inf.;journals/acta/Blikle81;2017-05-28;;;;;199-217;;;;;The Clean Termination of Iterative Programs.;;;db/journals/acta/acta16.html#Blikle81;16;1981
107;Fred Kröger;;;;;;;;;;;https://doi.org/10.1007/BF00286493;;;Acta Inf.;journals/acta/Kroger80;2017-05-28;;;;;371-389;;;;;Infinite Proof Rules for Loops.;;;db/journals/acta/acta14.html#Kroger80;14;1980
108;Michael Bertol|Zoltán Ésik;;;;;;;;;;;https://doi.org/10.1007/s002360050129;;;Acta Inf.;journals/acta/EsikB98;2017-06-02;;;;6;505-539;;;;;Nonfinite Axiomatizability of the Equational Theory of Shuffle.;;;db/journals/acta/acta35.html#EsikB98;35;1998
109;Johannes A. La Poutré|Rob van Stee;;;;;;;;;;;https://doi.org/10.1007/PL00013305;;;Acta Inf.;journals/acta/SteeP01;2017-06-02;;;;10;727-742;;;;;Running a job on a collection of partly available machines, with on-line restarts.;;;db/journals/acta/acta37.html#SteeP01;37;2001
110;Carroll Morgan|Paul H. B. Gardiner;;;;;;;;;;;https://doi.org/10.1007/BF00277386;;;Acta Inf.;journals/acta/MorganG89;2017-05-28;;;;6;481-503;;;;;Data Refinement by Calculation.;;;db/journals/acta/acta27.html#MorganG89;27;1990
111;Ambuj K. Singh;;;;;;;;;;;https://doi.org/10.1007/BF01209623;;;Acta Inf.;journals/acta/Singh93;2017-05-28;;;;6;503-535;;;;;Program Refinement in Fair Transition Systems.;;;db/journals/acta/acta30.html#Singh93;30;1993
112;Nicolas Halbwachs|Paul Caspi;;;;;;;;;;;https://doi.org/10.1007/BF00263648;;;Acta Inf.;journals/acta/CaspiH86;2017-05-28;;;;6;595-627;;;;;A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.;;;db/journals/acta/acta22.html#CaspiH86;22;1986
113;Eike Best|Elisabeth Pelz|Hanna Klaudel|Richard P. Hopkins|Wojciech Fraczak;;;;;;;;;;;https://doi.org/10.1007/s002360050144;;;Acta Inf.;journals/acta/BestFHKP98;2017-06-02;;;;10;813-857;;;;;M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.;;;db/journals/acta/acta35.html#BestFHKP98;35;1998
114;Wuu Yang;;;;;;;;;;;https://doi.org/10.1007/BF01213079;;;Acta Inf.;journals/acta/Yang95;2017-05-28;;;;5;459-476;;;;;On the Look-Ahead Problem in Lexical Analysis.;;;db/journals/acta/acta32.html#Yang95;32;1995
115;Sanjit A. Seshia|Susmit Jha;;;;;;;;;;;https://doi.org/10.1007/s00236-017-0294-5;;;Acta Inf.;journals/acta/JhaS17;2017-10-19;;;;7;693-726;;;;;A theory of formal synthesis via inductive learning.;;;db/journals/acta/acta54.html#JhaS17;54;2017
116;Håkan Lennerstad|Kamilla Klonowska|Lars Lundberg;;;;;;;;;;;https://doi.org/10.1007/s00236-009-0096-5;;;Acta Inf.;journals/acta/KlonowskaLL09;2017-05-28;;;;4;285-295;;;;;The maximum gain of increasing the number of preemptions in multiprocessor scheduling.;;;db/journals/acta/acta46.html#KlonowskaLL09;46;2009
117;Arnold L. Rosenberg;;;;;;;;;;;https://doi.org/10.1007/BF00288886;;;Acta Inf.;journals/acta/Rosenberg78;2017-05-28;;;;;273-292;;;;;Data Encodings and Their Costs.;;;db/journals/acta/acta9.html#Rosenberg78;9;1978
118;Zvi Galil;;;;;;;;;;;https://doi.org/10.1007/BF00263744;;;Acta Inf.;journals/acta/Galil76;2017-05-28;;;;;77-88;;;;;Hierarchies of Complete Problems.;;;db/journals/acta/acta6.html#Galil76;6;1976
119;Volker Claus;;;;;;;;;;;https://doi.org/10.1007/BF00264292;;;Acta Inf.;journals/acta/Claus71;2017-05-28;;;;;64-78;;;;;Ein Vollständigkeitssatz für Programme und Schaltkreise.;;;db/journals/acta/acta1.html#Claus71;1;1971
120;Naoki Kobayashi 0001;;;;;;;;;;;https://doi.org/10.1007/s00236-005-0179-x;;;Acta Inf.;journals/acta/Kobayashi05;2017-05-28;;;;4-5;291-347;;;;;Type-based information flow analysis for the pi-calculus.;;;db/journals/acta/acta42.html#Kobayashi05;42;2005
121;Jean Berstel;;;;;;;;;;;https://doi.org/10.1007/BF00288640;;;Acta Inf.;journals/acta/Berstel74;2017-05-28;;;;;293-295;;;;;Sur une Conjecture de S. Greibach.;;;db/journals/acta/acta3.html#Berstel74;3;1974
122;B. Bartsch|Gunter Bolch;;;;;;;;;;;https://doi.org/10.1007/BF00260928;;;Acta Inf.;journals/acta/BartschB78;2017-05-28;;;;;105-109;;;;;A Conservation Law for G/G/m Queueing Systems.;;;db/journals/acta/acta10.html#BartschB78;10;1978
123;Zvi Galil;;;;;;;;;;;https://doi.org/10.1007/BF00288535;;;Acta Inf.;journals/acta/Galil80;2017-05-28;;;;;53-58;;;;;Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.;;;db/journals/acta/acta13.html#Galil80;13;1980
124;Jan Joris Vereijken|Joost Engelfriet;;;;;;;;;;;https://doi.org/10.1007/s002360050106;;;Acta Inf.;journals/acta/EngelfrietV97;2017-06-02;;;;10;773-803;;;;;Context-Free Graph Grammars and Concatenation of Graphs.;;;db/journals/acta/acta34.html#EngelfrietV97;34;1997
125;Teruo Hikita;;;;;;;;;;;https://doi.org/10.1007/BF00268318;;;Acta Inf.;journals/acta/Hikita79;2017-05-28;;;;;305-320;;;;;On a Class of Recursive Procedures and Equivalent Iterative Ones.;;;db/journals/acta/acta12.html#Hikita79;12;1979
126;Allen Reiter|Yuri Breitbart;;;;;;;;;;;https://doi.org/10.1007/BF00288743;;;Acta Inf.;journals/acta/BreitbartR74;2017-05-28;;;;;107-116;;;;;Algorithms for Fast Evaluation of Boolean Expressions.;;;db/journals/acta/acta4.html#BreitbartR74;4;1975
127;Damien Pous|Daniela Petrisan|Filippo Bonchi|Jurriaan Rot;;0000-0002-1220-4399;;;;;;;;;https://doi.org/10.1007/s00236-016-0271-4;oa;;Acta Inf.;journals/acta/BonchiPPR17;2018-06-26;;;;2;127-190;;;;;A general account of coinduction up-to.;;;db/journals/acta/acta54.html#BonchiPPR17;54;2017
128;Per Brinch Hansen;;;;;;;;;;;https://doi.org/10.1007/BF00288684;;;Acta Inf.;journals/acta/Hansen72;2017-05-28;;;;;190-199;;;;;A Comparison of Two Synchronizing Concepts.;;;db/journals/acta/acta1.html#Hansen72;1;1972
129;Karsten Schmidt 0004;;;;;;;;;;;https://doi.org/10.1007/s002360050002;;;Acta Inf.;journals/acta/Schmidt00;2017-06-02;;;;7;545-590;;;;;How to Calculate Symmetries of Petri Nets.;;;db/journals/acta/acta36.html#Schmidt00;36;2000
130;Arto Salomaa|Grzegorz Rozenberg|Mogens Nielsen|Sven Skyum;;;;;;;;;;;https://doi.org/10.1007/BF00288938;;;Acta Inf.;journals/acta/NielsenRSS74a;2017-05-28;;;;;87-106;;;;;Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.;;;db/journals/acta/acta4.html#NielsenRSS74a;4;1974
131;Antonios Kalampakas|Symeon Bozapalidis;;;;;;;;;;;https://doi.org/10.1007/s00236-006-0006-z;;;Acta Inf.;journals/acta/BozapalidisK06;2017-05-28;;;;8-9;553-581;;;;;Recognizability of graph and pattern languages.;;;db/journals/acta/acta42.html#BozapalidisK06;42;2006
132;Jörg Desel|Wolfgang Reisig;;;;;;;;;;;https://doi.org/10.1007/s002360050046;;;Acta Inf.;journals/acta/DeselR96;2017-05-28;;;;4;297-315;;;;;The Synthesis Problem of Petri Nets.;;;db/journals/acta/acta33.html#DeselR96;33;1996
133;Wolfgang Merzenich;;;;;;;;;;;https://doi.org/10.1007/BF00264022;;;Acta Inf.;journals/acta/Merzenich79;2017-05-28;;;;;149-168;;;;;A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.;;;db/journals/acta/acta11.html#Merzenich79;11;1979
134;Eleni Mandrali|George Rahonis;;;;;;;;;;;https://doi.org/10.1007/s00236-013-0193-3;;;Acta Inf.;journals/acta/MandraliR14;2017-05-28;;;;2;61-106;;;;;On weighted first-order logics with discounting.;;;db/journals/acta/acta51.html#MandraliR14;51;2014
135;Dirk Janssens|Grzegorz Rozenberg;;;;;;;;;;;https://doi.org/10.1007/BF00289591;;;Acta Inf.;journals/acta/JanssensR81;2017-05-28;;;;;63-85;;;;;A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.;;;db/journals/acta/acta16.html#JanssensR81;16;1981
136;Annabelle McIver|Carroll Morgan;;0000-0002-2405-9838;;;;;;;;;https://doi.org/10.1007/s002360000046;;;Acta Inf.;journals/acta/McIverM01;2018-11-30;;;;4/5;329-354;;;;;Demonic, angelic and unbounded probabilistic choices in sequential programs.;;;db/journals/acta/acta37.html#McIverM01;37;2001
137;Matthew Hennessy|S. Arun-Kumar;;;;;;;;;;;https://doi.org/10.1007/BF01191894;;;Acta Inf.;journals/acta/Arun-KumarH92;2017-05-28;;;;8;737-760;;;;;An Efficiency Preorder for Processes.;;;db/journals/acta/acta29.html#Arun-KumarH92;29;1992
138;Benedetto Intrigila|Stefano Varricchio;;;;;;;;;;;https://doi.org/10.1007/s002360050176;;;Acta Inf.;journals/acta/IntrigilaV00;2017-06-02;;;;9/10;817-835;;;;;On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.;;;db/journals/acta/acta36.html#IntrigilaV00;36;2000
139;Ricardo A. Baeza-Yates;;;;;;;;;;;https://doi.org/10.1007/BF00276022;;;Acta Inf.;journals/acta/Baeza-Yates89;2017-05-28;;;;4;349-362;;;;;Modeling Splits in File Structures.;;;db/journals/acta/acta26.html#Baeza-Yates89;26;1989
140;Angelo Monti|Domenico Parente|Emanuela Fachini|Margherita Napoli;;0000-0001-6969-8273|0000-0002-4935-6003;;;;;;;;;https://doi.org/10.1007/BF01191895;;;Acta Inf.;journals/acta/FachiniMNP92;2017-06-05;;;;8;761-778;;;;;Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.;;;db/journals/acta/acta29.html#FachiniMNP92;29;1992
141;Benedetto Intrigila|Enrico Tronci|Giuseppe Della Penna|Marisa Venturini Zilli;;0000-0003-2327-9393;;;;;;;;;https://doi.org/10.1007/s00236-002-0099-y;;;Acta Inf.;journals/acta/PennaITZ03;2017-06-05;;;;1;31-70;;;;;Synchronized regular expressions.;;;db/journals/acta/acta39.html#PennaITZ03;39;2003
142;Borivoj Melichar|Jan Janousek;;;;;;;;;;;https://doi.org/10.1007/s00236-009-0104-9;;;Acta Inf.;journals/acta/JanousekM09;2017-05-28;;;;7;533-547;;;;;On regular tree languages and deterministic pushdown automata.;;;db/journals/acta/acta46.html#JanousekM09;46;2009
143;Matthew Hennessy|Xinxin Liu;;;;;;;;;;;https://doi.org/10.1007/BF01178384;;;Acta Inf.;journals/acta/HennessyL95;2017-05-28;;;;4;375-393;;;;;A Modal Logic for Message Passing Processes.;;;db/journals/acta/acta32.html#HennessyL95;32;1995
144;Marc J. van Kreveld|Mark H. Overmars|Mark de Berg|Michiel H. M. Smid;;;;;;;;;;;https://doi.org/10.1007/BF00289018;;;Acta Inf.;journals/acta/OvermarsSBK89;2017-05-28;;;;5;423-452;;;;;Maintaining Range Trees in Secondary Memory. Part I: Partitions.;;;db/journals/acta/acta27.html#OvermarsSBK89;27;1990
145;Michael Brand;;0000-0001-9447-4933;;;;;;;;;https://doi.org/10.1007/s00236-012-0171-1;;;Acta Inf.;journals/acta/Brand12;2017-06-05;;;;7-8;485-491;;;;;Does indirect addressing matter? - A note.;;;db/journals/acta/acta49.html#Brand12;49;2012
146;Joakim von Wright|Ralph-Johan Back;;;;;;;;;;;https://doi.org/10.1007/s002360050163;;;Acta Inf.;journals/acta/BackW99;2017-06-02;;;;4;295-334;;;;;Reasoning Algebraically about Loops.;;;db/journals/acta/acta36.html#BackW99;36;1999
147;Alexandre Brandwajn;;;;;;;;;;;https://doi.org/10.1007/BF00288934;;;Acta Inf.;journals/acta/Brandwajn74;2017-05-28;;;;;11-47;;;;;A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.;;;db/journals/acta/acta4.html#Brandwajn74;4;1974
148;Eric Badouel|Philippe Darondeau;;;;;;;;;;;https://doi.org/10.1007/BF01186645;;;Acta Inf.;journals/acta/BadouelD95;2017-05-28;;;;7;647-679;;;;;Trace Nets and Process Automata.;;;db/journals/acta/acta32.html#BadouelD95;32;1995
149;Angelo Montanari|Marco Pazzaglia|Pietro Sala;;;;;;;;;;;https://doi.org/10.1007/s00236-016-0256-3;;;Acta Inf.;journals/acta/MontanariPS16;2017-05-28;;;;6-8;621-648;;;;;Metric propositional neighborhood logic with an equivalence relation.;;;db/journals/acta/acta53.html#MontanariPS16;53;2016
150;Leonidas J. Guibas;;;;;;;;;;;https://doi.org/10.1007/BF00289612;;;Acta Inf.;journals/acta/Guibas74;2017-05-28;;;;;293-298;;;;;A Principle of Independence for Binary Tree Searching.;;;db/journals/acta/acta4.html#Guibas74;4;1974
151;Ralf Hartmut Güting;;;;;;;;;;;https://doi.org/10.1007/BF00264251;;;Acta Inf.;journals/acta/Guting84;2017-05-28;;;;;271-291;;;;;Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.;;;db/journals/acta/acta21.html#Guting84;21;1984
152;Clement H. C. Leung|Qui Hoon Choo;;;;;;;;;;;https://doi.org/10.1007/BF00271643;;;Acta Inf.;journals/acta/LeungC84;2017-05-28;;;;;485-500;;;;;The Paging Drum Queue: A Uniform Perspective and Further Results.;;;db/journals/acta/acta21.html#LeungC84;21;1984
153;Steffen Hölldobler|Stephan Heilbrunner;;;;;;;;;;;https://doi.org/10.1007/BF00264362;;;Acta Inf.;journals/acta/HeilbrunnerH87;2017-05-28;;;;2;157-171;;;;;The Undecidability of the Unification and Matching Problem for Canonical Theories.;;;db/journals/acta/acta24.html#HeilbrunnerH87;24;1987
154;Niklaus Wirth;;;;;;;;;;;https://doi.org/10.1007/BF00264291|https://www.wikidata.org/entity/Q55951021;;;Acta Inf.;journals/acta/Wirth71;2018-11-14;;;;;35-63;;;;;The Programming Language Pascal.;;;db/journals/acta/acta1.html#Wirth71;1;1971
155;Achim D. Brucker|Burkhart Wolff;;0000-0002-6355-1200;;;;;;;;;https://doi.org/10.1007/s00236-009-0093-8;;;Acta Inf.;journals/acta/BruckerW09;2017-06-05;;;;4;255-284;;;;;Semantics, calculi, and analysis for object-oriented specifications.;;;db/journals/acta/acta46.html#BruckerW09;46;2009
156;Hermann K.-G. Walter;;;;;;;;;;;https://doi.org/10.1007/BF00288689;;;Acta Inf.;journals/acta/Walter72;2017-05-28;;;;;253-269;;;;;Inhibitionsfelder.;;;db/journals/acta/acta1.html#Walter72;1;1972
157;Andreas Malcher|Martin Kutrib|Matthias Wendlandt;;;;;;;;;;;https://doi.org/10.1007/s00236-014-0206-x;;;Acta Inf.;journals/acta/KutribMW14;2017-05-28;;;;8;553-569;;;;;Head and state hierarchies for unary multi-head finite automata.;;;db/journals/acta/acta51.html#KutribMW14;51;2014
158;Bernhard Mescheder;;;;;;;;;;;https://doi.org/10.1007/BF00288772;;;Acta Inf.;journals/acta/Mescheder80;2017-05-28;;;;;383-408;;;;;On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.;;;db/journals/acta/acta13.html#Mescheder80;13;1980
159;Antonín Kucera|Jan Strejcek;;0000-0002-6602-8028;;;;;;;;;https://doi.org/10.1007/s00236-005-0164-4;;;Acta Inf.;journals/acta/KuceraS05;2018-11-30;;;;7-8;415-434;;;;;The stuttering principle revisited.;;;db/journals/acta/acta41.html#KuceraS05;41;2005
160;Thomas P. Murtagh;;;;;;;;;;;https://doi.org/10.1007/BF00264361;;;Acta Inf.;journals/acta/Murtagh87;2017-05-28;;;;2;145-156;;;;;Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.;;;db/journals/acta/acta24.html#Murtagh87;24;1987
161;Adam L. Buchsbaum|Rajamani Sundar|Robert Endre Tarjan;;;;;;;;;;;https://doi.org/10.1007/BF01178261;;;Acta Inf.;journals/acta/BuchsbaumST95;2017-05-28;;;;3;255-270;;;;;Lazy Structure Sharing for Query Optimization.;;;db/journals/acta/acta32.html#BuchsbaumST95;32;1995
162;Yuxi Fu;;;;;;;;;;;https://doi.org/10.1007/s00236-007-0038-z;;;Acta Inf.;journals/acta/Fu07;2017-05-28;;;;8;535-594;;;;;Fair ambients.;;;db/journals/acta/acta43.html#Fu07;43;2007
163;Norbert Ramsperger;;;;;;;;;;;https://doi.org/10.1007/BF00271341;;;Acta Inf.;journals/acta/Ramsperger77;2017-05-28;;;;;325-334;;;;;Concurrent Access to Data.;;;db/journals/acta/acta8.html#Ramsperger77;8;1977
164;Kim S. Larsen;;;;;;;;;;;https://doi.org/10.1007/s00236-002-0086-3;;;Acta Inf.;journals/acta/Larsen02;2017-06-02;;;;8;565-586;;;;;Relaxed red-black trees with group updates.;;;db/journals/acta/acta38.html#Larsen02;38;2002
165;Ikuo Nakata|Masataka Sassa;;;;;;;;;;;https://doi.org/10.1007/BF00289495;; LALR ;Acta Inf.;journals/acta/NakataS86;2017-05-28;;;;2;149-162;;;;;Generation of Efficient ;;;db/journals/acta/acta23.html#NakataS86;23;1986
166;László Pap|Nam H. Do|Ram Chakka|Tien Van Do;;;;;;;;;;;https://doi.org/10.1007/s00236-011-0138-7;;;Acta Inf.;journals/acta/DoCDP11;2017-05-28;;;;4;243-269;;;;;A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.;;;db/journals/acta/acta48.html#DoCDP11;48;2011
167;Hsu-Chun Yen;;;;;;;;;;;https://doi.org/10.1007/s002360050138;;;Acta Inf.;journals/acta/Yen98;2017-06-02;;;;8;673-688;;;;;Priority Conflict-Free Petri Nets.;;;db/journals/acta/acta35.html#Yen98;35;1998
168;Derick Wood|Hans-Peter Kriegel|Vijay K. Vaishnavi;;;;;;;;;;;https://doi.org/10.1007/BF00288540;;;Acta Inf.;journals/acta/VaishnaviKW80;2017-05-28;;;;;119-133;;;;;Optimum Multiway Search Trees.;;;db/journals/acta/acta14.html#VaishnaviKW80;14;1980
169;Martin Seysen|Norbert Blum;;;;;;;;;;;https://doi.org/10.1007/BF00289238;;;Acta Inf.;journals/acta/BlumS84;2017-05-28;;;;;171-181;;;;;Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.;;;db/journals/acta/acta21.html#BlumS84;21;1984
170;Carlos R. P. Hartmann|Pramod K. Varshney|Ramachandran Vaidyanathan;;;;;;;;;;;https://doi.org/10.1007/BF01185406;;;Acta Inf.;journals/acta/VaidyanathanHV95;2017-05-28;;;;1;79-92;;;;;Parallel Integer Sorting Using Small Operations.;;;db/journals/acta/acta32.html#VaidyanathanHV95;32;1995
171;Ján Gaso|Martin Nehéz;;;;;;;;;;;https://doi.org/10.1007/s00236-002-0104-5;;;Acta Inf.;journals/acta/GasoN03;2017-06-02;;;;2;119-140;;;;;Stochastic cooperative distributed grammar systems and random graphs.;;;db/journals/acta/acta39.html#GasoN03;39;2003
172;Andrzej Duda|Tadeusz Czachórski;;;;;;;;;;;https://doi.org/10.1007/BF00263293;;;Acta Inf.;journals/acta/DudaC87;2017-05-28;;;;5;525-553;;;;;Performance Evaluation of Fork and Join Synchronization Primitives.;;;db/journals/acta/acta24.html#DudaC87;24;1987
173;Y. S. Tsai|Zheng-Zhu Li;;;;;;;;;;;https://doi.org/10.1007/s00236-010-0127-2;;Q;Acta Inf.;journals/acta/LiT11;2017-05-28;;;;1;1-18;;;;;Some properties of the disjunctive languages contained in ;;;db/journals/acta/acta48.html#LiT11;48;2011
174;Arto Salomaa|Jozef Gruska|Karel Culik II;;;;;;;;;;;https://doi.org/10.1007/BF00289573;;;Acta Inf.;journals/acta/CulikGS82;2017-05-28;;;;;335-344;;;;;Systolic Automata for VLSI on Balanced Trees.;;;db/journals/acta/acta18.html#CulikGS82;18;1982
175;Joost Engelfriet|Tjalling Gelsema;;;;;;;;;;;https://doi.org/10.1007/s00236-004-0141-3;;;Acta Inf.;journals/acta/EngelfrietG04;2017-05-28;;;;6-7;385-430;;;;;A new natural structural congruence in the pi-calculus with replication.;;;db/journals/acta/acta40.html#EngelfrietG04;40;2004
176;Dominique Potier|Jacques Leroudier|Kevin C. Kahn|Peter J. Denning|Rajan Suri;;;;;;;;;;;https://doi.org/10.1007/BF00265771;;;Acta Inf.;journals/acta/DenningKLPS76;2017-05-28;;;;;197-216;;;;;Optimal Multiprogramming.;;;db/journals/acta/acta7.html#DenningKLPS76;7;1976
